"legacy_id","shop_strength"
"124","花の苗園本舗の花の苗は評判やきね。実物見ると印象変わるき。 今日は寄ってみいや。 よう評判が立ちゅうきね。"
"155","この苗木、今朝見たとき一番えかったき。 あれこれ見てみいや。"
"160","のこぎりはここがいちばんやき。見た目と手触りが違うき。 あれこれ見てみいや。"
"141","迷うたらしょうゆやね。ひと目で惚れる人が多いき。 手に取ってみてよ。 最近は特に人気やきね。"
"42","まず絵画から見てみいや。実物見ると印象変わるき。 こりゃおすすめやき。 最近は特に人気やきね。"
"130","石鹸、見たら気分が上がるで。今日は出来がえい日やき。 こりゃおすすめやき。 最近は特に人気やきね。"
"190","ここ来たら観葉植物は外せん。手間かけちゅうのが分かるき。 気になったら声かけてよ。 一度買うたらまた来とうなるき。"
"223","鎌なら間違いない店よ。気負わず使えるのがえい。 外せんきね。"
"289","まずチャームから見てみいや。ひとつあると安心やき。 気になったら声かけてよ。"
"216","えいスコップが揃うちゅう。色味がよう出ちゅう。 手に取ってみてよ。 ここは外さんと損やき。"
"85","ここでりんごを選んだら外さんき。作りが丁寧やき。 こりゃおすすめやき。"
"48","今週はヘアピンがよう出ちゅう。今朝見たとき一番えかったき。 こりゃおすすめやき。 おばあが今いちばん推す店よ。"
"159","お菓子はここがいちばんやき。一回試してみると分かるき。 外せんきね。 一度買うたらまた来とうなるき。"
"294","ここ来たらお箸は外せん。気負わず使えるのがえい。 のぞくだけでも楽しいき。 えいもんが揃っちゅうき。"
"255","この店の木工品は、今朝見たとき一番えかったき。 外せんきね。 ここは外さんと損やき。"
"278","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"271","この店の推しはおにぎり。今朝見たとき一番えかったき。 ついでに寄ってみいや。"
"63","ここの編み物、作りが丁寧やき。 あれこれ見てみいや。"
"220","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"69","この辺でアクセサリー言うたらここやき。持った感じが軽うてえい。 見たら分かるき。 これ目当てに来る人がおるで。"
"275","まずチャームから見てみいや。扱いやすいがよ。 のぞくだけでも楽しいき。 ここは外さんと損やき。"
"51","おにぎりひとつで印象変わるき。一回試してみると分かるき。 こりゃおすすめやき。"
"30","今日はお餅をのぞいていきや。今日は出来がえい日やき。 のぞくだけでも楽しいき。 朝いちに寄る人も多いき。"
"2","ちょいといも天見ていきや。仕上げがきれいに出ちゅう。 ついでに寄ってみいや。"
"196","ここで竹製品を選んだら外さんき。気負わず使えるのがえい。 ついでに寄ってみいや。"
"273","ここのざる、作りが丁寧やき。 のぞくだけでも楽しいき。"
"123","食器ひとつで印象変わるき。使うたら分かるがよ。 見たら分かるき。"
"205","かんざしひとつで印象変わるき。こだわりが見える品やき。 見たら分かるき。"
"209","えい剪定鋏が揃うちゅう。扱いやすいがよ。 のぞくだけでも楽しいき。"
"87","ここでのこぎりを選んだら外さんき。持った感じが軽うてえい。 外せんきね。"
"139","この店のイヤリングは、実物見ると印象変わるき。 一回のぞいてみいや。 えいもんが揃っちゅうき。"
"108","ちょいと彫刻刀見ていきや。実物見ると印象変わるき。 気になったら声かけてよ。 最近は特に人気やきね。"
"19","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"64","酢、見たら気分が上がるで。実物見ると印象変わるき。 今日は寄ってみいや。"
"74","この弁当箱、色味がよう出ちゅう。 のぞくだけでも楽しいき。 ここは外さんと損やき。"
"274","迷うたら花の苗やね。今朝見たとき一番えかったき。 今日は寄ってみいや。 一度買うたらまた来とうなるき。"
"206","ここ来たら編み物は外せん。作りが丁寧やき。 手に取ってみてよ。"
"151","えい梨が揃うちゅう。普段使いにちょうどえい。 一回のぞいてみいや。 ここは外さんと損やき。"
"23","団子、見たら気分が上がるで。色味がよう出ちゅう。 外せんきね。 見たら思わず手が伸びるがよ。"
"300","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"227","木工品工房の編み物は評判やきね。こだわりが見える品やき。 一回のぞいてみいや。 ここは外さんと損やき。"
"56","今日は陶器をのぞいていきや。手に取った時がえいき。 あれこれ見てみいや。 えいもんが揃っちゅうき。"
"91","この店の革製品は、ひとつあると安心やき。 見たら分かるき。"
"150","堅実包丁舗本舗のはさみは評判やきね。手間かけちゅうのが分かるき。 気になったら声かけてよ。"
"146","ピアス目当てで来る人も多いがよ。気負わず使えるのがえい。 外せんきね。 よう評判が立ちゅうきね。"
"175","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"117","この店の花の苗は、手間かけちゅうのが分かるき。 気になったら声かけてよ。 おばあが今いちばん推す店よ。"
"38","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"4","えいタオルが揃うちゅう。家にあると助かるき。 今日は寄ってみいや。 これ目当てに来る人がおるで。"
"21","ここの編み物、仕上げがきれいに出ちゅう。 のぞくだけでも楽しいき。 最近は特に人気やきね。"
"236","この店の推しはたこ焼き。扱いやすいがよ。 あれこれ見てみいや。 おばあが今いちばん推す店よ。"
"293","包丁なら間違いない店よ。持った感じが軽うてえい。 あれこれ見てみいや。 見たら思わず手が伸びるがよ。"
"129","この店のドライバーは、普段使いにちょうどえい。 今日は寄ってみいや。 最近は特に人気やきね。"
"173","まずパンから見てみいや。持った感じが軽うてえい。 一回のぞいてみいや。 おばあが今いちばん推す店よ。"
"36","レタスはここがいちばんやき。ひとつあると安心やき。 今日は寄ってみいや。"
"201","まずアイスクリームから見てみいや。一回試してみると分かるき。 手に取ってみてよ。"
"107","ここのパン、気負わず使えるのがえい。 気になったら声かけてよ。"
"109","今日はかごがえい日よ。家にあると助かるき。 こりゃおすすめやき。 ここは外さんと損やき。"
"148","しょうゆなら間違いない店よ。一回試してみると分かるき。 のぞくだけでも楽しいき。 朝いちに寄る人も多いき。"
"165","ここで味噌を選んだら外さんき。仕上げがきれいに出ちゅう。 手に取ってみてよ。 朝いちに寄る人も多いき。"
"176","えい植木鉢が揃うちゅう。普段使いにちょうどえい。 ついでに寄ってみいや。"
"239","トマト苗はここがいちばんやき。見た目と手触りが違うき。 こりゃおすすめやき。"
"299","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"116","この辺でざる言うたらここやき。手元に置いたら嬉しなるき。 あれこれ見てみいや。 一度買うたらまた来とうなるき。"
"202","剪定鋏はここがいちばんやき。気負わず使えるのがえい。 のぞくだけでも楽しいき。"
"228","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"238","この辺で弁当箱言うたらここやき。今日は出来がえい日やき。 気になったら声かけてよ。"
"230","包丁目当てで来る人も多いがよ。気負わず使えるのがえい。 のぞくだけでも楽しいき。"
"297","えい染物が揃うちゅう。色味がよう出ちゅう。 一回のぞいてみいや。"
"120","土佐レタス便屋のにんじんは評判やきね。作りが丁寧やき。 外せんきね。"
"177","ピアスブローチのブレスレットは評判やきね。こだわりが見える品やき。 一回のぞいてみいや。 よう評判が立ちゅうきね。"
"1","このりんご、普段使いにちょうどえい。 のぞくだけでも楽しいき。"
"169","この店のトマト苗は、手元に置いたら嬉しなるき。 ついでに寄ってみいや。 おばあが今いちばん推す店よ。"
"231","この辺で食器言うたらここやき。持った感じが軽うてえい。 気になったら声かけてよ。 よう評判が立ちゅうきね。"
"8","ここ来たらきゅうりは外せん。一回試してみると分かるき。 見たら分かるき。 よう評判が立ちゅうきね。"
"137","ここのタオル、扱いやすいがよ。 あれこれ見てみいや。"
"180","この店の推しはパン。持った感じが軽うてえい。 一回のぞいてみいや。"
"224","迷うたら食器やね。ひと目で惚れる人が多いき。 あれこれ見てみいや。 見たら思わず手が伸びるがよ。"
"97","ここ来たらピアスは外せん。今日は出来がえい日やき。 今日は寄ってみいや。"
"171","この店の推しは刺繍。仕上げがきれいに出ちゅう。 のぞくだけでも楽しいき。 見たら思わず手が伸びるがよ。"
"55","イヤリング、見たら気分が上がるで。見た目と手触りが違うき。 気になったら声かけてよ。 これ目当てに来る人がおるで。"
"167","この店の推しははさみ。扱いやすいがよ。 のぞくだけでも楽しいき。"
"242","この店のぶどうは、扱いやすいがよ。 外せんきね。 これ目当てに来る人がおるで。"
"292","いも天、見たら気分が上がるで。見た目と手触りが違うき。 一回のぞいてみいや。 ここは外さんと損やき。"
"162","肥料なら間違いない店よ。普段使いにちょうどえい。 今日は寄ってみいや。"
"25","ここ来たら竹製品は外せん。一回試してみると分かるき。 のぞくだけでも楽しいき。 見たら思わず手が伸びるがよ。"
"234","刺繍目当てで来る人も多いがよ。ひと目で惚れる人が多いき。 今日は寄ってみいや。"
"121","ここでパンを選んだら外さんき。ひと目で惚れる人が多いき。 今日は寄ってみいや。"
"118","指輪ひとつで印象変わるき。扱いやすいがよ。 見たら分かるき。"
"134","じゃがいもなら間違いない店よ。手間かけちゅうのが分かるき。 のぞくだけでも楽しいき。 おばあが今いちばん推す店よ。"
"127","この店の推しはなす。使うたら分かるがよ。 一回のぞいてみいや。 一度買うたらまた来とうなるき。"
"49","この店の推しは和紙。使うたら分かるがよ。 こりゃおすすめやき。"
"184","えいブレスレットが揃うちゅう。今日は出来がえい日やき。 外せんきね。 毎回ちょっと覗きたくなる店よ。"
"13","今日はチャームをのぞいていきや。実物見ると印象変わるき。 見たら分かるき。"
"24","この鎌、使うたら分かるがよ。 今日は寄ってみいや。"
"66","えいはさみが揃うちゅう。家にあると助かるき。 気になったら声かけてよ。 最近は特に人気やきね。"
"110","ちょいとハーブ見ていきや。手間かけちゅうのが分かるき。 あれこれ見てみいや。"
"266","暮らしの竹製品屋のざるは評判やきね。作りが丁寧やき。 今日は寄ってみいや。"
"163","迷うたらピアスやね。作りが丁寧やき。 外せんきね。 一度買うたらまた来とうなるき。"
"186","レタス目当てで来る人も多いがよ。こだわりが見える品やき。 今日は寄ってみいや。"
"199","ここで陶器を選んだら外さんき。手間かけちゅうのが分かるき。 外せんきね。 見たら思わず手が伸びるがよ。"
"5","この辺で苗木言うたらここやき。家にあると助かるき。 一回のぞいてみいや。"
"122","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"166","えいお餅が揃うちゅう。普段使いにちょうどえい。 見たら分かるき。 朝いちに寄る人も多いき。"
"73","はさみ目当てで来る人も多いがよ。今日は出来がえい日やき。 こりゃおすすめやき。"
"95","ここの布巾、今朝見たとき一番えかったき。 のぞくだけでも楽しいき。"
"61","苗木目当てで来る人も多いがよ。見た目と手触りが違うき。 手に取ってみてよ。"
"248","革製品、見たら気分が上がるで。今朝見たとき一番えかったき。 のぞくだけでも楽しいき。"
"272","この店の推しはドライバー。ひとつあると安心やき。 こりゃおすすめやき。"
"281","今週は苗木がよう出ちゅう。手元に置いたら嬉しなるき。 ついでに寄ってみいや。"
"249","ここ来たら玉ねぎは外せん。手に取った時がえいき。 あれこれ見てみいや。 一度買うたらまた来とうなるき。"
"112","竹細工はここがいちばんやき。実物見ると印象変わるき。 ついでに寄ってみいや。 おばあが今いちばん推す店よ。"
"37","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"90","ここのアクセサリー、ひと目で惚れる人が多いき。 一回のぞいてみいや。"
"92","この店の梨は、一回試してみると分かるき。 見たら分かるき。"
"152","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"27","ネックレスなら間違いない店よ。今日は出来がえい日やき。 気になったら声かけてよ。"
"43","ここ来たらバナナは外せん。今日は出来がえい日やき。 のぞくだけでも楽しいき。"
"113","油ひとつで印象変わるき。扱いやすいがよ。 一回のぞいてみいや。 一度買うたらまた来とうなるき。"
"179","ここのみかん、家にあると助かるき。 あれこれ見てみいや。 これ目当てに来る人がおるで。"
"191","このブローチ、仕上げがきれいに出ちゅう。 こりゃおすすめやき。"
"82","種の庭本舗の球根は評判やきね。ひとつあると安心やき。 手に取ってみてよ。"
"83","ちょいとアクセサリー見ていきや。普段使いにちょうどえい。 あれこれ見てみいや。"
"14","ちょいと染物見ていきや。普段使いにちょうどえい。 こりゃおすすめやき。 見たら思わず手が伸びるがよ。"
"18","この店の推しは食器。今朝見たとき一番えかったき。 一回のぞいてみいや。"
"84","染物ひとつで印象変わるき。手間かけちゅうのが分かるき。 見たら分かるき。"
"217","えい食器が揃うちゅう。今日は出来がえい日やき。 こりゃおすすめやき。"
"276","今日はガラス細工がえい日よ。仕上げがきれいに出ちゅう。 気になったら声かけてよ。"
"70","この辺で木工品言うたらここやき。ひと目で惚れる人が多いき。 見たら分かるき。 朝いちに寄る人も多いき。"
"214","あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？"
"128","ここ来たらいも天は外せん。手元に置いたら嬉しなるき。 見たら分かるき。"
"65","いも天目当てで来る人も多いがよ。家にあると助かるき。 外せんきね。 毎回ちょっと覗きたくなる店よ。"
"15","今日はじゃがいもがえい日よ。手に取った時がえいき。 あれこれ見てみいや。"
"98","ここで竹細工を選んだら外さんき。持った感じが軽うてえい。 こりゃおすすめやき。"
"295","迷うたらハーブやね。持った感じが軽うてえい。 見たら分かるき。"
"189","道具の弁当箱本舗のざるは評判やきね。見た目と手触りが違うき。 一回のぞいてみいや。 一度買うたらまた来とうなるき。"
"105","ガラス細工、見たら気分が上がるで。手間かけちゅうのが分かるき。 ついでに寄ってみいや。"
"252","この店の推しは弁当箱。家にあると助かるき。 のぞくだけでも楽しいき。"
"72","今日はアイスクリームがえい日よ。今朝見たとき一番えかったき。 今日は寄ってみいや。"
"62","ブローチはここがいちばんやき。使うたら分かるがよ。 今日は寄ってみいや。 一度買うたらまた来とうなるき。"
"296","迷うたらアクセサリーやね。今日は出来がえい日やき。 こりゃおすすめやき。 えいもんが揃っちゅうき。"
"35","まず陶器から見てみいや。使うたら分かるがよ。 こりゃおすすめやき。 ここは外さんと損やき。"
"136","今日は剪定鋏をのぞいていきや。扱いやすいがよ。 今日は寄ってみいや。"
"188","今日は彫刻刀がえい日よ。気負わず使えるのがえい。 ついでに寄ってみいや。 おばあが今いちばん推す店よ。"
"225","苗木園の肥料は評判やきね。見た目と手触りが違うき。 今日は寄ってみいや。"
"132","まずチャームから見てみいや。色味がよう出ちゅう。 のぞくだけでも楽しいき。"
"6","えいイヤリングが揃うちゅう。手元に置いたら嬉しなるき。 手に取ってみてよ。 えいもんが揃っちゅうき。"
"133","ちょいと染物見ていきや。仕上げがきれいに出ちゅう。 のぞくだけでも楽しいき。 一度買うたらまた来とうなるき。"
"226","イヤリング、見たら気分が上がるで。扱いやすいがよ。 手に取ってみてよ。 最近は特に人気やきね。"
"143","今週は剪定鋏がよう出ちゅう。扱いやすいがよ。 見たら分かるき。"
"86","ほっこり焼き芋亭のおはぎは評判やきね。手元に置いたら嬉しなるき。 今日は寄ってみいや。"
"149","この店の推しはアイスクリーム。普段使いにちょうどえい。 今日は寄ってみいや。 朝いちに寄る人も多いき。"
